# Mapping of OMA species codes to NCBI taxon IDs and scientific names.
# Note: OMA species codes are whenever possible identical to UniProt codes.
# Format: OMA code<tab>OMA Taxon ID<tab>NCBI Taxon ID<tab>GTDB genome accession<tab>Scientific name<tab>Genome source<tab>Version/Release
ABSGL	4829	4829	n/a	Absidia glauca	EnsemblGenomes	Ensembl Fungi 48; AG_v1
ACAM1	-644103924	329726	RS_GCF_000018105.1	Acaryochloris marina (strain MBIC 11017)	Genome Reviews	18-MAR-2008 (Rel. 88, Last updated, Version 2)
ACAPL	133434	133434	n/a	Acanthaster planci	Refseq	Refseq; OKI-Apl_1.0; GCF_001949145.1; 08-AUG-2017
ACCPU	-745294054	522306	RS_GCF_000024165.1	Accumulibacter phosphatis (strain UW-1)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 4)
ACEAZ	-832469519	574087	RS_GCF_000144695.1	Acetohalobium arabaticum (strain ATCC 49924 / DSM 5501 / Z-7288)	EBI	09-JAN-2014 (Rel. 119, Last updated, Version 5)
ACECE	-823481299	720554	RS_GCF_000237085.1	Acetivibrio clariflavus (strain DSM 19732 / NBRC 101661 / EBR45)	EBI	23-JUL-2013 (Rel. 117, Last updated, Version 3)
ACEMN	-709043147	891968	RS_GCF_000266925.1	Acetomicrobium mobile (strain ATCC BAA-54 / DSM 13181 / JCM 12221 / NGA)	EBI	23-JUL-2013 (Rel. 117, Last updated, Version 3)
ACEP3	-130570095	634452	RS_GCF_000010825.1	Acetobacter pasteurianus (strain NBRC 105184 / IFO 3283-01)	Genome Reviews	24-NOV-2009 (Rel. 114, Last updated, Version 2)
ACESD	-1127706318	1511	RS_GCF_000196455.1	Acetoanaerobium sticklandii (strain ATCC 12662 / DSM 519 / JCM 1433 / CCUG 9281 / NCIMB 10654 / HF)	EBI	15-OCT-2010 (Rel. 106, Last updated, Version 1)
ACET1	-1003781903	637887	RS_GCF_000184925.1	Acetivibrio thermocellus (strain DSM 1313 / LMG 6656 / LQ8)	EBI	22-MAY-2011 (Rel. 108, Last updated, Version 2)
ACET2	-1436795047	203119	RS_GCF_000015865.1	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372)	Genome Reviews	17-APR-2007 (Rel. 72, Last updated, Version 2)
ACEWD	-1479437726	931626	RS_GCF_000247605.1	Acetobacterium woodii (strain ATCC 29683 / DSM 1030 / JCM 2381 / KCTC 1655 / WB1)	EBI	11-APR-2012 (Rel. 112, Last updated, Version 2)
ACHLI	-1567536115	441768	RS_GCF_000018785.1	Acholeplasma laidlawii (strain PG-8A)	Genome Reviews	18-MAR-2008 (Rel. 88, Last updated, Version 2)
ACHXA	-1365922930	762376	RS_GCF_000165835.1	Achromobacter xylosoxidans (strain A8)	EBI	19-JAN-2011 (Rel. 107, Last updated, Version 2)
ACIA4	-1725549117	1171373	RS_GCF_000310065.1	Acidipropionibacterium acidipropionici (strain ATCC 4875 / DSM 20272 / JCM 6432 / NBRC 12425 / NCIMB 8070 / 4)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 5)
ACIAC	-1322106641	397945	RS_GCF_000015325.1	Acidovorax citrulli (strain AAC00-1)	EBI	05-JAN-2007 (Rel. 90, Last updated, Version 1)
ACIAD	-2022064831	62977	RS_GCF_000046845.1	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	EBI	05-NOV-2010 (Rel. 106, Last updated, Version 8)
ACIAP	-905708007	643561	RS_GCF_000176855.2	Acidovorax avenae (strain ATCC 19860 / DSM 7227 / CCUG 15838 / JCM 20985 / LMG 2117 / NCPPB 1011)	Genome Reviews	07-JUN-2011 (Rel. 130, Last updated, Version 1)
ACIB1	-1916001759	696749	RS_GCF_000188215.1	Acinetobacter baumannii (strain 1656-2)	EBI	01-NOV-2011 (Rel. 110, Last updated, Version 2)
ACIB3	-1896519300	557600	RS_GCF_002803025.2	Acinetobacter baumannii (strain AB307-0294)	Genome Reviews	12-MAY-2009 (Rel. 106, Last updated, Version 3)
ACIB4	-104984936	439481	RS_GCF_000025665.1	Aciduliprofundum boonei (strain DSM 19572 / T469)	Genome Reviews	13-JUL-2010 (Rel. 123, Last updated, Version 2)
ACIB5	-1972280484	480119	RS_GCF_000021245.2	Acinetobacter baumannii (strain AB0057)	Genome Reviews	12-MAY-2009 (Rel. 106, Last updated, Version 3)
ACIBC	-1505601021	405416	RS_GCF_000018445.1	Acinetobacter baumannii (strain ACICU)	Genome Reviews	01-JUL-2008 (Rel. 93, Last updated, Version 1)
ACIBD	-1392847525	980514	GB_GCA_000189735.2	Acinetobacter baumannii (strain TCDC-AB0715)	EBI	04-SEP-2011 (Rel. 110, Last updated, Version 3)
ACIBS	-271097185	509170	GB_GCA_000069205.1	Acinetobacter baumannii (strain SDF)	Genome Reviews	23-SEP-2008 (Rel. 96, Last updated, Version 1)
ACIBT	-349655374	400667	RS_GCF_004794275.2	Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377)	Genome Reviews	26-JUN-2007 (Rel. 76, Last updated, Version 3)
ACIBY	-1128383680	509173	RS_GCF_000069245.1	Acinetobacter baumannii (strain AYE)	Genome Reviews	01-JUL-2008 (Rel. 93, Last updated, Version 3)
ACIC1	-1086339741	351607	RS_GCF_000015025.1	Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B)	EBI	16-NOV-2006 (Rel. 89, Last updated, Version 2)
ACIC5	-1264631282	240015	RS_GCF_000022565.1	Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / BCRC 80197 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)	Genome Reviews	16-JUN-2009 (Rel. 107, Last updated, Version 1)
ACICJ	-1828015308	349163	RS_GCF_000016725.1	Acidiphilium cryptum (strain JF-5)	Genome Reviews	23-OCT-2007 (Rel. 82, Last updated, Version 2)
ACICP	-1388521348	871585	RS_GCF_000191145.1	Acinetobacter calcoaceticus (strain PHEA-2)	EBI	22-MAY-2011 (Rel. 108, Last updated, Version 2)
ACICS	-1432951552	990288	RS_GCF_000221025.1	Acidithiobacillus caldus (strain SM-1)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 4)
ACIET	-680119649	535289	RS_GCF_000022305.1	Acidovorax ebreus (strain TPSY)	Genome Reviews	30-NOV-2010 (Rel. 127, Last updated, Version 21)
ACIF2	-1271942575	243159	RS_GCF_000021485.1	Acidithiobacillus ferrooxidans (strain ATCC 23270 / DSM 14882 / CIP 104768 / NCIMB 8455)	Genome Reviews	12-MAY-2009 (Rel. 106, Last updated, Version 3)
ACIF5	-758573489	380394	RS_GCF_000020825.1	Acidithiobacillus ferrooxidans (strain ATCC 53993 / BNL-5-31)	Genome Reviews	16-DEC-2008 (Rel. 100, Last updated, Version 2)
ACIFD	-1199646134	525909	RS_GCF_000023265.1	Acidimicrobium ferrooxidans (strain DSM 10331 / JCM 15462 / NBRC 103882 / ICP)	Genome Reviews	24-NOV-2009 (Rel. 114, Last updated, Version 2)
ACIFV	-984562180	591001	RS_GCF_000025305.1	Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / CCUG 9996 / CIP 106432 / VR4)	Genome Reviews	08-MAR-2011 (Rel. 129, Last updated, Version 10)
ACIHW	-130389005	933801	RS_GCF_000213215.1	Acidianus hospitalis (strain W1)	EBI	23-SEP-2011 (Rel. 110, Last updated, Version 2)
ACIIR	-1121414477	568816	RS_GCF_000230275.1	Acidaminococcus intestini (strain RyC-MR95)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 5)
