GO_term_def,Gene_name,Association_score,Disease_association,Full_name
cell,AACS,0.04967153246962393,Intellectual disability,acetoacetyl-CoA synthetase
cell,AANAT,0.0413929437246866,Intellectual disability,aralkylamine N-acetyltransferase
cell,AATF,0.04967153246962393,Intellectual disability,apoptosis antagonizing transcription factor
cell,ABCA12,0.05120898466511228,Intellectual disability,ATP binding cassette subfamily A member 12
cell,ABCA2,0.04934630219750139,Intellectual disability,ATP binding cassette subfamily A member 2
cell,ABCA3,0.03993679909722888,Arthrogryposis syndrome,ATP binding cassette subfamily A member 3
cell,ABCA4,0.035080519806671893,Arthrogryposis syndrome,ATP binding cassette subfamily A member 4
cell,ABCB1,0.03018182892315356,Arthrogryposis syndrome,ATP binding cassette subfamily B member 1
cell,ABCB4,0.04739738443046405,Arthrogryposis syndrome,ATP binding cassette subfamily B member 4
cell,ABCD1,0.26609749537298527,Intellectual disability,ATP binding cassette subfamily D member 1
cell,ABCD1,0.26609749537298527,Intellectual disability,ATP binding cassette subfamily D member 1
cell,ABCG2,0.01160150971209241,Arthrogryposis syndrome,ATP binding cassette subfamily G member 2 (Junior blood group)
cell,ABL1,0.06251017901472852,Arthrogryposis syndrome,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
cell,ABO,0.01467908583086684,Arthrogryposis syndrome,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
cell,ACADSB,0.05053080563176586,Intellectual disability,acyl-CoA dehydrogenase short/branched chain
cell,ACAN,0.04281767406449612,Arthrogryposis syndrome,aggrecan
cell,ACAT1,0.05067124597654604,Intellectual disability,acetyl-CoA acetyltransferase 1
cell,ACE,0.04967153246962393,Intellectual disability,angiotensin I converting enzyme
cell,ACE,0.02907103388682255,Arthrogryposis syndrome,angiotensin I converting enzyme
cell,ACE2,0.01046435364842582,Arthrogryposis syndrome,angiotensin converting enzyme 2
cell,ACHE,0.04157773365202895,Abnormal pattern of respiration,acetylcholinesterase (Cartwright blood group)
cell,ACKR2,0.0199573121529739,Arthrogryposis syndrome,atypical chemokine receptor 2
cell,ACOT4,0.15091177399625322,Intellectual disability,acyl-CoA thioesterase 4
cell,ACOT4,0.15091177399625322,Intellectual disability,acyl-CoA thioesterase 4
cell,ACP5,0.05133910757228252,Arthrogryposis syndrome,"acid phosphatase 5, tartrate resistant"
cell,ACSF2,0.03104470779351495,Intellectual disability,acyl-CoA synthetase family member 2
