Gene name,Mouse gene,Ensembl_id
GDNF,Gdnf,ENSG00000168621
HOXA4,Hoxa4,ENSG00000197576
CRY1,Cry1,ENSG00000008405
ALCAM,Alcam,ENSG00000170017
DAXX,Daxx,ENSG00000204209
ARX,Arx,ENSG00000004848
CPEB1,Cpeb1,ENSG00000214575
OR4A16,Or4a72,ENSG00000181961
OR5K1,Or5k1b,ENSG00000232382
OR5K2,Or5k1b,ENSG00000231861
OR5K4,Or5k17,ENSG00000196098
OR10J3,Or10j3b,ENSG00000196266
OR5K1,Or5k1,ENSG00000232382
OR5K2,Or5k1,ENSG00000231861
OR4A16,Or4a68,ENSG00000181961
OR12D3,Or12d17,ENSG00000112462
OR12D1,Or12d14-ps1,ENSG00000251608
OR12D2,Or12d14-ps1,ENSG00000280236
OR4E1,Or4e5,ENSG00000276240
OR12D1,Or12d15,ENSG00000251608
OR12D2,Or12d15,ENSG00000280236
OR4E2,Or4e2,ENSG00000221977
OR12D1,Or12d16-ps1,ENSG00000251608
OR12D2,Or12d16-ps1,ENSG00000280236
OR4E1,Or4e1,ENSG00000276240
OR10K2,Or10k2,ENSG00000180708
NEUROG1,Neurog1,ENSG00000181965
MSX2,Msx2,ENSG00000120149
PAX6,Pax6,ENSG00000007372
DDX3Y,Ddx3y,ENSG00000067048
DDX3X,D1Pas1,ENSG00000215301
DDX3X,Ddx3x,ENSG00000215301
ADAR,Adar,ENSG00000160710
OR4B1,Or4b1,ENSG00000175619
OR2A12,Or2a12,ENSG00000221858
PKLR,Pklr,ENSG00000143627
GNG3,Gng3,ENSG00000162188
BCL2L1,Bcl2l1,ENSG00000171552
ATP1A1,Atp1a1,ENSG00000163399
CLDN11,Cldn11,ENSG00000013297
GCH1,Gch1,ENSG00000131979
ND4L,mt-Nd4l,NA
CACNA1C,Cacna1c,ENSG00000151067
FTH1P19,Fthl17c,ENSG00000219186
FTHL17,Fthl17c,ENSG00000132446
FTH1P19,Fthl17f,ENSG00000219186
FTHL17,Fthl17f,ENSG00000132446
FTH1P19,Fthl17d,ENSG00000219186
FTHL17,Fthl17d,ENSG00000132446
FTH1P19,Fthl17b,ENSG00000219186
FTHL17,Fthl17b,ENSG00000132446
FTH1,Fth1,ENSG00000167996
FTH1P19,Fthl17e,ENSG00000219186
FTHL17,Fthl17e,ENSG00000132446
FTH1P19,Fthl17a,ENSG00000219186
